,Date,Price
260,2018-07-15,2.83
261,2018-08-15,2.96
262,2018-09-15,3
263,2018-10-15,3.28
264,2018-11-15,4.09
265,2018-12-15,4.04
266,2019-01-15,3.11
267,2019-02-15,2.69
268,2019-03-15,2.95
269,2019-04-15,2.65
270,2019-05-15,2.64
271,2019-06-15,2.4
272,2019-07-15,2.37
273,2019-08-15,2.22
274,2019-09-15,2.56
275,2019-10-15,2.33
276,2019-11-15,2.65
277,2019-12-15,2.22
278,2020-01-15,2.02
